roadnumber	frompoint	topoint	settlement	fromwhen	towhen	namingid	extentid	speed
1	74,820	75,977	Almásfüzitő	2010.06.03	2010.06.21	1	1	30
1	169,410	170,320	Levél	2010.03.16	2010.06.30	2	2	40
3	178,970	187,145	Miskolc	2010.05.31	2010.06.30	3	1	30
4	304,000	313,000	Nyírtass	2010.05.29	2010.10.05	4	1	40
4	306,000	307,000	Nyírtass	2010.03.24	2010.10.05	2	1	40
4	336,580	341,222	Záhony	2010.05.29	2010.10.05	4	1	40
4	287,790	288,910	Nyírtura	2010.03.10	2010.10.05	4	1	40
4	319,250	319,775	Kisvárda	2010.05.29	2010.10.05	4	1	40
4	313,000	315,000	Pátroha	2010.05.05	2010.10.05	4	1	40
4	241,650	248,480	Hajdúhadház - Téglás	2010.07.08	2010.07.30	4	5	60
4	248,480	260,200	Újfehértó	2010.03.16	2010.10.30	5	1	30
4	336,580	337,910	Tiszabezdéd	2010.03.10	2010.10.05	2	1	40
4	180,400	200,100	Püspökladány - Hajdúszoboszló	2010.03.09	2010.07.31	4	3	40
6	66,300	67,000	Dunaújváros	2010.06.01	2010.06.15	6	1	40
8	43,500	44,600	Litér	2010.10.15	2010.11.30	2	1	50
11	37,740	37,850	Dunabogdány	2010.05.17	2010.06.21	4	3	30
11	24,250	24,300	Leányfalu	2010.05.17	2010.06.25	4	1	30
11	25,900	26,100	Leányfalu	2010.05.03	2010.06.30	4	1	30
13	3,293	3,948	Komárom	2010.04.26	2010.08.15	2	1	40
21	15,060	16,530	Apc	2010.03.15	2010.09.30	4	1	60
21	7,850	9,750	Lőrinci	2010.03.15	2010.09.30	4	1	60
21	57,800	58,100	Salgótarján	2010.05.17	2010.06.15	4	2	30
31	27,540	32,721	Maglód - Mende	2010.03.17	2010.06.18	4	3	20
31	34,107	40,764	Mende	2010.03.17	2010.06.18	4	3	20
31	32,721	34,107	Mende	2010.03.17	2010.06.18	4	3	20
31	25,515	34,803	Maglód - Mende	2010.03.09	2010.07.27	4	3	40
32	57,282	58,291	Újszász	2010.03.17	2010.06.15	7	3	40
32	27,400	27,900	Jászberény	2010.05.07	2010.08.06	2	1	30
38	12,400	12,400	Rakamaz	2010.05.10	2010.06.30	4	1	30
42	5,100	5,800	Püspökladány	2010.04.15	2010.06.30	2	3	40
42	41,500	41,600	Berettyóújfalu	2010.06.03	2010.06.30	8	3	40
47	1,115	1,255	Debrecen	2010.03.30	2010.06.30	4	1	30
47	217,800	218,100	Algyő	2010.03.17	2010.06.30	4	2	60
55	100,060	100,175	Baja	2010.03.22	2010.07.31	2	4	30
61	154,520	155,800	Böhönye - Vése	2010.03.15	2010.11.15	7	1	50
61	165,500	166,200	Vése - Inke	2010.03.15	2010.11.15	7	1	40
61	157,150	158,170	Vése	2010.03.15	2010.11.15	7	1	50
61	161,100	163,200	Vése	2010.03.15	2010.11.15	7	1	30
61	176,900	177,400	Iharosberény	2010.03.15	2010.11.15	7	1	30
61	183,900	185,500	Pogányszentpéter	2010.03.15	2010.11.15	7	1	30
61	176,150	176,600	Iharosberény	2010.03.15	2010.11.15	7	1	30
61	172,100	173,500	Inke	2010.03.15	2010.11.15	7	1	30
61	167,500	169,100	Inke	2010.03.15	2010.11.15	7	1	30
67	8,500	9,500	Szigetvár - Szentlászló	2010.05.24	2010.06.25	7	3	40
72	6,400	6,902	Litér	2010.10.15	2010.11.30	2	1	50
75	56,750	58,725	Lenti	2010.06.02	2010.07.06	5	1	40
76	36,700	40,785	Padár - Nagykapornak	2010.05.31	2010.06.30	4	3	40
76	27,400	27,400	Zalacsány	2010.06.01	2010.06.30	7	2	40
76	40,785	53,255	Alsónemesapáti - Zalaegerszeg	2010.03.22	2010.11.10	4	3	40
81	60,050	60,450	Mezőörs	2010.05.16	2010.06.30	6	4	30
81	59,800	70,000	Pér - Mezőörs	2010.03.22	2010.07.15	4	3	30
86	6,798	8,557	Resznek	2010.06.01	2010.07.31	4	2	40
86	2,381	5,390	Rédics	2010.04.19	2010.08.01	7	3	40
86	94,500	98,600	Szeleste	2010.09.08	2010.11.30	4	1	40
